0,55.0
1,62.0
2,23.0
3,163.0
4,13.0
5,28.0
6,59.0
7,92.0
8,241.0
9,165.0
10,17.0
11,53.0
12,63.0
13,109.0
14,12.0
15,120.0
16,46.0
17,26.0
18,9.0
19,46.0
20,11.0
21,91.0
22,105.0
23,222.0
24,29.0
25,62.0
26,54.0
27,72.0
28,82.0
29,143.0
30,32.0
31,26.0
32,28.0
33,181.0
34,65.0
35,58.0
36,8.0
37,75.0
38,75.0
39,154.0
40,53.0
41,85.0
42,25.0
43,102.0
44,131.0
45,66.0
46,100.0
47,53.0
48,106.0
49,3.0
50,116.0
51,98.0
52,77.0
53,72.0
54,6.0
55,146.0
56,59.0
57,136.0
58,80.0
59,82.0
60,31.0
61,60.0
62,26.0
63,67.0
64,49.0
65,8.0
66,99.0
67,126.0
68,18.0
69,37.0
70,6.0
71,27.0
72,1.0
73,66.0
74,28.0
75,8.0
76,70.0
77,6.0
78,20.0
79,47.0
80,43.0
81,15.0
82,11.0
83,16.0
84,6.0
85,21.0
86,0.0
87,0.0
88,146.0
89,0.0
