0,28.0
1,26.0
2,8.0
3,48.0
4,7.0
5,6.0
6,25.0
7,38.0
8,79.0
9,62.0
10,7.0
11,21.0
12,30.0
13,43.0
14,5.0
15,35.0
16,16.0
17,11.0
18,7.0
19,12.0
20,5.0
21,41.0
22,31.0
23,92.0
24,20.0
25,32.0
26,21.0
27,40.0
28,26.0
29,64.0
30,12.0
31,14.0
32,12.0
33,81.0
34,33.0
35,19.0
36,5.0
37,30.0
38,38.0
39,58.0
40,20.0
41,38.0
42,29.0
43,48.0
44,44.0
45,20.0
46,28.0
47,17.0
48,39.0
49,1.0
50,40.0
51,48.0
52,36.0
53,37.0
54,6.0
55,40.0
56,22.0
57,52.0
58,34.0
59,26.0
60,1.0
61,22.0
62,14.0
63,32.0
64,18.0
65,2.0
66,35.0
67,52.0
68,16.0
69,9.0
70,3.0
71,13.0
72,1.0
73,15.0
74,12.0
75,6.0
76,19.0
77,4.0
78,4.0
79,29.0
80,15.0
81,6.0
82,5.0
83,10.0
84,14.0
85,1.0
86,0.0
87,0.0
88,77.0
89,0.0
